시도명,시군구명,동명,and_nm,비례의원수,지방명,광역의원선거구명,기초의원선거구명,기초의원선출수
전라북도,전주시완산구,효자2동,전라북도 전주시완산구 효자2동,4,전주시,제6선거구,바선거구,3
전라북도,전주시완산구,효자3동,전라북도 전주시완산구 효자3동,4,전주시,제6선거구,바선거구,3
전라북도,전주시완산구,효자4동,전라북도 전주시완산구 효자4동,4,전주시,제6선거구,바선거구,3
전라북도,전주시완산구,효자5동,전라북도 전주시완산구 효자5동,4,전주시,제7선거구,사선거구,2
전라북도,전주시덕진구,진북동,전라북도 전주시덕진구 진북동,4,전주시,제8선거구,아선거구,3
전라북도,전주시덕진구,인후1동,전라북도 전주시덕진구 인후1동,4,전주시,제8선거구,아선거구,3
전라북도,전주시덕진구,인후2동,전라북도 전주시덕진구 인후2동,4,전주시,제8선거구,아선거구,3
전라북도,전주시덕진구,금암1동,전라북도 전주시덕진구 금암1동,4,전주시,제8선거구,아선거구,3
전라북도,전주시덕진구,금암2동,전라북도 전주시덕진구 금암2동,4,전주시,제8선거구,아선거구,3
전라북도,전주시덕진구,덕진동,전라북도 전주시덕진구 덕진동,4,전주시,제9선거구,자선거구,2
전라북도,전주시덕진구,팔복동,전라북도 전주시덕진구 팔복동,4,전주시,제9선거구,자선거구,2
전라북도,전주시덕진구,송천2동,전라북도 전주시덕진구 송천2동,4,전주시,제9선거구,자선거구,2
전라북도,전주시덕진구,우아1동,전라북도 전주시덕진구 우아1동,4,전주시,제10선거구,차선거구,2
전라북도,전주시덕진구,우아2동,전라북도 전주시덕진구 우아2동,4,전주시,제10선거구,차선거구,2
전라북도,전주시덕진구,호성동,전라북도 전주시덕진구 호성동,4,전주시,제10선거구,차선거구,2
전라북도,전주시덕진구,송천1동,전라북도 전주시덕진구 송천1동,4,전주시,제11선거구,카선거구,2
전라북도,전주시덕진구,조촌동,전라북도 전주시덕진구 조촌동,4,전주시,제12선거구,타선거구,3
전라북도,전주시덕진구,여의동,전라북도 전주시덕진구 여의동,4,전주시,제12선거구,타선거구,3
전라북도,전주시덕진구,혁신동,전라북도 전주시덕진구 혁신동,4,전주시,제12선거구,타선거구,3
전라북도,군산시,옥구읍,전라북도 군산시 옥구읍,3,군산시,제1선거구,가선거구,2
전라북도,군산시,옥산면,전라북도 군산시 옥산면,3,군산시,제1선거구,가선거구,2
전라북도,군산시,회현면,전라북도 군산시 회현면,3,군산시,제1선거구,가선거구,2
전라북도,군산시,옥도면,전라북도 군산시 옥도면,3,군산시,제1선거구,가선거구,2
전라북도,군산시,옥서면,전라북도 군산시 옥서면,3,군산시,제1선거구,가선거구,2
전라북도,군산시,해신동,전라북도 군산시 해신동,3,군산시,제1선거구,나선거구,3
전라북도,군산시,신풍동,전라북도 군산시 신풍동,3,군산시,제1선거구,나선거구,3
전라북도,군산시,삼학동,전라북도 군산시 삼학동,3,군산시,제1선거구,나선거구,3
전라북도,군산시,소룡동,전라북도 군산시 소룡동,3,군산시,제1선거구,나선거구,3
전라북도,군산시,미성동,전라북도 군산시 미성동,3,군산시,제1선거구,나선거구,3
전라북도,군산시,임피면,전라북도 군산시 임피면,3,군산시,제2선거구,다선거구,2
전라북도,군산시,서수면,전라북도 군산시 서수면,3,군산시,제2선거구,다선거구,2
전라북도,군산시,대야면,전라북도 군산시 대야면,3,군산시,제2선거구,다선거구,2
전라북도,군산시,개정면,전라북도 군산시 개정면,3,군산시,제2선거구,다선거구,2
전라북도,군산시,성산면,전라북도 군산시 성산면,3,군산시,제2선거구,다선거구,2
전라북도,군산시,나포면,전라북도 군산시 나포면,3,군산시,제2선거구,다선거구,2
전라북도,군산시,중앙동,전라북도 군산시 중앙동,3,군산시,제2선거구,라선거구,3
전라북도,군산시,조촌동,전라북도 군산시 조촌동,3,군산시,제2선거구,라선거구,3
전라북도,군산시,경암동,전라북도 군산시 경암동,3,군산시,제2선거구,라선거구,3
전라북도,군산시,구암동,전라북도 군산시 구암동,3,군산시,제2선거구,라선거구,3
전라북도,군산시,개정동,전라북도 군산시 개정동,3,군산시,제2선거구,라선거구,3
전라북도,군산시,월명동,전라북도 군산시 월명동,3,군산시,제3선거구,마선거구,2
전라북도,군산시,흥남동,전라북도 군산시 흥남동,3,군산시,제3선거구,마선거구,2
전라북도,군산시,수송동,전라북도 군산시 수송동,3,군산시,제3선거구,바선거구,3
전라북도,군산시,나운1동,전라북도 군산시 나운1동,3,군산시,제4선거구,사선거구,3
전라북도,군산시,나운2동,전라북도 군산시 나운2동,3,군산시,제4선거구,사선거구,3
전라북도,군산시,나운3동,전라북도 군산시 나운3동,3,군산시,제4선거구,아선거구,2
전라북도,익산시,모현동,전라북도 익산시 모현동,3,익산시,제1선거구,가선거구,3
